Histórico de cotações - BBAS3;
Date;value
19/06/2019;51,87
18/06/2019;51,59
17/06/2019;50,63
14/06/2019;50,53
13/06/2019;51,88
12/06/2019;52,38
11/06/2019;52,46
10/06/2019;51,53
07/06/2019;52,76
06/06/2019;52,27
05/06/2019;51,82
04/06/2019;52,5
03/06/2019;52,1
31/05/2019;51,91
30/05/2019;51,75
29/05/2019;51,24
28/05/2019;51,27
27/05/2019;50,56
24/05/2019;49,59
23/05/2019;48,84
22/05/2019;49,03
21/05/2019;48,58
20/05/2019;46,3
17/05/2019;45,42
16/05/2019;46,12
15/05/2019;47,17
14/05/2019;48,06
13/05/2019;48,76
10/05/2019;50,42
09/05/2019;50,75
08/05/2019;50,59
07/05/2019;49,09
06/05/2019;49,4
03/05/2019;50,06
02/05/2019;49,68
30/04/2019;49,52
29/04/2019;49,4
26/04/2019;49,24
25/04/2019;48,78
24/04/2019;48,41
23/04/2019;49,1
22/04/2019;48,35
18/04/2019;48,52
17/04/2019;47,55
16/04/2019;47,59
15/04/2019;47,1
12/04/2019;47,14
11/04/2019;48,36
10/04/2019;48,73
09/04/2019;48,41
08/04/2019;49
05/04/2019;49,21
04/04/2019;48,76
03/04/2019;49,08
02/04/2019;49,13
01/04/2019;49,35
29/03/2019;48,77
28/03/2019;47,8
27/03/2019;47,19
26/03/2019;48,67
25/03/2019;48,12
22/03/2019;48,41
21/03/2019;50,29
20/03/2019;51,94
19/03/2019;53,18
18/03/2019;53,96
15/03/2019;54,03
14/03/2019;53,4
13/03/2019;53,57
12/03/2019;53,11
11/03/2019;53,08
08/03/2019;51,18
07/03/2019;50,52
07/03/2019;50,52
06/03/2019;51,02
01/03/2019;51,13
28/02/2019;50,82
27/02/2019;52,07
26/02/2019;52,42
25/02/2019;52,66
22/02/2019;52,99
21/02/2019;53,27
20/02/2019;54,23
19/02/2019;55,25
18/02/2019;54,34
15/02/2019;54,81
14/02/2019;53,26
13/02/2019;52,26
12/02/2019;52,46
11/02/2019;50,72
08/02/2019;51,77
07/02/2019;51,49
06/02/2019;52,45
05/02/2019;53,72
04/02/2019;52,61
01/02/2019;51,69
31/01/2019;51,91
30/01/2019;49,99
29/01/2019;49,22
28/01/2019;48,61
24/01/2019;49,13
23/01/2019;48,93
22/01/2019;48,47
21/01/2019;48,11
18/01/2019;48,98
17/01/2019;48,88
